Month,Number of Teslas Owned,Operational Miles Remaining,Total Money Earned,Cash
69.0,5.0,3995000.0,262512.4780078124,42626.21705778144
70.0,6.0,4957500.0,271471.4104248046,5017.1099101426225
71.0,6.0,4912500.0,282222.1293251952,15767.828810533245
72.0,6.0,4867500.0,292972.8482255858,26518.547710923867
73.0,6.0,4822500.0,303186.0311809569,36731.730666294956
74.0,6.0,4777500.0,313399.214136328,46944.91362166605
75.0,7.0,5732500.0,323612.3970916991,9193.015825467206
76.0,7.0,5680000.0,335527.7772062987,21108.39594006681
77.0,7.0,5627500.0,347443.1573208983,33023.776054666414
78.0,7.0,5575000.0,359358.5374354979,44939.15616926602
79.0,8.0,6522500.0,371273.9175500975,8889.455532295688
80.0,8.0,6462500.0,384891.4948239256,22507.03280612381
81.0,8.0,6402500.0,398509.0720977537,36124.61007995193
82.0,9.0,7342500.0,412126.6493715818,1777.1066022101222
83.0,9.0,7275000.0,427446.42380463844,17096.881035266757
84.0,9.0,7207500.0,442766.1982376951,32416.65546832339
85.0,9.0,7140000.0,457319.9839490989,46970.4411797272
86.0,10.0,8072500.0,471873.76966050273,12120.193717013972
87.0,10.0,7997500.0,488044.6426731736,28291.066729684862
88.0,10.0,7922500.0,504215.5156858445,44461.93974235575
89.0,11.0,8847500.0,520386.3886985154,8758.57792220376
90.0,11.0,8765000.0,538174.3490124535,26546.538236141743
91.0,11.0,8682500.0,555962.3093263914,44334.49855007973
92.0,12.0,9600000.0,573750.2696403294,10248.224031194826
93.0,12.0,9510000.0,593155.3172555345,29653.2716463999
94.0,12.0,9420000.0,612560.3648707395,49058.31926160497
95.0,13.0,10330000.0,631965.4124859446,16589.132043987163
96.0,13.0,10232500.0,652987.5474024167,37611.266960459325
97.0,14.0,11135000.0,672958.5755730652,4151.833253300305
98.0,14.0,11030000.0,694465.8366799175,25659.09436015259
99.0,14.0,10925000.0,715973.0977867699,47166.355467004876
100.0,15.0,11820000.0,737480.3588936222,15243.154696049583
101.0,15.0,11707500.0,760523.8529366782,38286.6487391056
102.0,16.0,12595000.0,783567.3469797343,7899.680904354049
103.0,16.0,12475000.0,808147.073958994,32479.407883613803
104.0,17.0,13355000.0,832726.8009382538,3628.672985065983
105.0,17.0,13227500.0,858842.7608537172,29744.632900529472
106.0,18.0,14100000.0,884958.7207691807,2430.130938185386
107.0,18.0,13965000.0,912610.9136208479,30082.32378985261
108.0,19.0,14830000.0,940263.106472515,4304.054763712258
109.0,19.0,14687500.0,967992.1109709925,32033.05926218966
110.0,20.0,15545000.0,995721.1154694699,4728.688026525262
111.0,20.0,15395000.0,1024909.5412573409,33917.113814396216
112.0,21.0,16245000.0,1054097.967045212,8072.163868125361
113.0,21.0,16087500.0,1084745.8141224764,38720.01094538986
114.0,22.0,16930000.0,1115393.6611997408,14334.482288512554
115.0,22.0,16765000.0,1147500.929566399,46441.7506551706
116.0,23.0,17600000.0,1179608.197933057,23515.643287686842
117.0,24.0,18427500.0,1213174.8875891087,2048.957209596636
118.0,24.0,18247500.0,1248200.998534554,37075.06815504178
119.0,25.0,19067500.0,1283227.1094799992,17067.803366345113
120.0,25.0,18880000.0,1319712.6417148379,53553.335601183804
121.0,26.0,19692500.0,1354373.8973379347,31530.21421811454
122.0,27.0,20497500.0,1390421.6031859554,10893.543059969139
123.0,27.0,20295000.0,1427855.7592589,48327.699132913665
124.0,28.0,21092500.0,1465289.9153318447,29077.47819969213
125.0,29.0,21882500.0,1504110.521629713,11213.707491394474
126.0,29.0,21665000.0,1544317.5781525052,51420.764014186745
127.0,30.0,22447500.0,1584524.6346752974,34943.443530812954
128.0,31.0,23222500.0,1626118.1414230135,19852.573272363043
129.0,32.0,23990000.0,1669098.0983956535,6148.153238837003
130.0,32.0,23750000.0,1713464.5055932174,50514.56043640089
131.0,33.0,24510000.0,1757830.9127907814,38196.59062779873
132.0,34.0,25262500.0,1803583.7702132692,27265.071044120436
133.0,35.0,26007500.0,1848366.1124783102,13662.504992810413
134.0,35.0,26750000.0,1893587.4973145772,498.98151272628456
135.0,35.0,26487500.0,1939686.967293296,46598.451491444976
136.0,36.0,27225000.0,1985786.4372720148,34313.01315381263
137.0,37.0,27955000.0,2033203.034964411,23344.702529857954
138.0,38.0,28677500.0,2081936.760370485,13693.51961958097
139.0,39.0,29392500.0,2131987.613490237,5359.464422981655
140.0,39.0,29100000.0,2183355.5943236663,56727.445256411054
141.0,40.0,29807500.0,2234723.5751570957,49710.51777348941
142.0,41.0,30507500.0,2287408.6837042025,44010.71800424546
143.0,42.0,31200000.0,2341410.9199649873,39628.04594867918
144.0,43.0,31885000.0,2396730.2839394496,36562.50160679058
145.0,44.0,32562500.0,2450534.9510431825,30230.71314468215
146.0,45.0,33232500.0,2505590.8894749093,25150.196010567517
147.0,46.0,33895000.0,2561898.09923463,21320.950204446686
148.0,47.0,34550000.0,2619456.5803223443,18742.97572631966
149.0,48.0,35197500.0,2678266.3327380526,17416.27257618642
150.0,49.0,35837500.0,2738327.3564817547,17340.840754046985
151.0,50.0,36470000.0,2799639.6515534506,18516.68025990134
152.0,51.0,37095000.0,2862203.2179531404,20943.791093749496
153.0,52.0,37712500.0,2926018.055680824,24622.173255591442
154.0,53.0,38322500.0,2991084.1647365014,29551.82674542719
155.0,54.0,38925000.0,3057401.5451201727,35732.75156325673
156.0,55.0,39520000.0,3124970.1968318378,43164.94770908004
157.0,56.0,40107500.0,3190349.1237195134,46603.32536393884
158.0,57.0,40687500.0,3256916.758368783,51230.41078039174
159.0,58.0,41260000.0,3324673.100779647,57046.20395843875
160.0,60.0,42825000.0,3393618.150952105,2110.1556652630534
161.0,61.0,43375000.0,3464940.616647751,11492.07212809239
162.0,62.0,43917500.0,3537451.7901049913,22062.696352515835
163.0,63.0,44452500.0,3611151.6713238256,33822.02833853339
164.0,64.0,44980000.0,3686040.260304254,46770.06808614505
165.0,65.0,45500000.0,3762117.5570462765,60906.815595350825
166.0,67.0,47012500.0,3839383.561549893,14291.721633333887
167.0,68.0,47510000.0,3919026.981576698,31994.592427321986
168.0,69.0,48000000.0,3999859.109365097,50886.170982904194
169.0,71.0,49482500.0,4077778.9031375903,1208.4333357949363
170.0,72.0,49950000.0,4157957.2416571123,17588.006145515792
171.0,73.0,50410000.0,4239264.852550149,35096.851328751036
172.0,73.0,50867500.0,4320948.887567691,52982.1206364911
173.0,75.0,52320000.0,4403385.770834242,7821.472483439415
174.0,76.0,52757500.0,4488081.198847822,28718.134787217852
175.0,77.0,53187500.0,4573905.899234916,50744.06946451068
176.0,79.0,54610000.0,4660859.8719955245,10100.510805516577
177.0,80.0,55017500.0,4750072.389503161,35514.262603352596
178.0,81.0,55417500.0,4840414.1793843135,62057.286774703
179.0,83.0,56810000.0,4931885.24163898,25930.817609766484
180.0,84.0,57187500.0,5025614.848640675,55861.658901660085
181.0,86.0,58557500.0,5115730.784047124,14552.136945918348
182.0,87.0,58912500.0,5207992.33696325,41100.96118094935
183.0,89.0,60260000.0,5301326.698634216,3009.8654897236556
184.0,89.0,60597500.0,5396091.471978299,32061.9101527116
185.0,90.0,60930000.0,5491571.451158942,61829.16065225865
186.0,92.0,62255000.0,5588124.239094423,26956.49122554902
187.0,93.0,62565000.0,5686822.644539582,59942.16798961212
188.0,95.0,63867500.0,5786593.858739579,28287.924827418552
189.0,96.0,64155000.0,5888510.690449254,64492.0278559977
190.0,98.0,65435000.0,5991500.330913767,36056.21095832015
191.0,100.0,66700000.0,6096635.588887958,9766.01157031997
192.0,100.0,66955000.0,6203201.258535267,47333.31610247865
193.0,102.0,68205000.0,6305118.090244941,7113.515674943803
194.0,103.0,68440000.0,6409073.2585888095,40000.36795020707
195.0,105.0,69667500.0,6514047.595249774,2838.072473962442
196.0,106.0,69880000.0,6621060.268544932,38782.429700515946
197.0,108.0,71085000.0,6729092.110157187,4677.639175561548
198.0,109.0,71275000.0,6839162.288403636,43679.501353405285
199.0,110.0,72462500.0,6949572.18942245,11952.770235009957
200.0,111.0,72637500.0,7061680.704303092,52992.96904704718
201.0,113.0,73805000.0,7174808.387500831,23984.020107576507
202.0,114.0,73957500.0,7289974.407332763,68081.72387090395
203.0,116.0,75102500.0,7406159.5954817915,42130.279882723524
204.0,117.0,76237500.0,7523703.674720283,17537.72698400542
205.0,118.0,76360000.0,7636984.233165585,57617.91987864564
206.0,120.0,77475000.0,7751233.001512131,25465.957123864995
207.0,121.0,77575000.0,7867418.189661159,68450.77972223093
208.0,123.0,78667500.0,7984571.58771143,39203.446671175974
209.0,124.0,79750000.0,8103015.93229669,11247.06015511023
210.0,125.0,79820000.0,8223073.960050686,58104.72235844379
211.0,127.0,80882500.0,8344100.1977059245,32730.228912356455
212.0,129.0,81930000.0,8467062.855163647,9292.155268752947
213.0,129.0,81967500.0,8591316.459156359,60345.39371080145
214.0,131.0,83000000.0,8716215.536416564,38843.73986968174
215.0,133.0,84017500.0,8843051.033479255,19278.505831045855
216.0,134.0,85025000.0,8971177.477076933,1004.2183273991977
217.0,135.0,85020000.0,9094430.597505027,48860.96223831104
218.0,137.0,86007500.0,9218603.517339302,22241.12903822001
219.0,138.0,85980000.0,9344616.035985935,72857.27116767126
220.0,139.0,86950000.0,9470935.154434629,48383.6365819998
221.0,141.0,87907500.0,9598787.271893622,25443.00100662801
222.0,143.0,88850000.0,9728478.988164976,4341.964243615832
223.0,143.0,88782500.0,9859397.103644568,59863.7032060261
224.0,145.0,89710000.0,9990928.41872828,40602.26525537358
225.0,147.0,90622500.0,10124299.332624353,23180.42611708067
226.0,148.0,91525000.0,10258896.645728666,6984.986187027505
227.0,149.0,91415000.0,10395026.957843278,67718.92178445669
228.0,151.0,92297500.0,10532077.069364069,53976.28027088303
229.0,152.0,93170000.0,10663439.754556648,30022.42983806657
230.0,154.0,94030000.0,10796258.788809013,7524.928465034813
231.0,154.0,93880000.0,10930242.902309205,63850.77415252896
232.0,156.0,94725000.0,11064809.555433312,43100.89165123884
233.0,158.0,95555000.0,11201123.82742916,24098.628021690354
234.0,159.0,96375000.0,11338603.178672835,6261.443639969628
235.0,160.0,96182500.0,11477538.878976295,67538.87613073175
236.0,161.0,96987500.0,11616765.849091712,51449.31062075266
237.0,163.0,97780000.0,11757449.168266915,36816.094170558266
238.0,164.0,98562500.0,11899297.566689944,23347.956968191633
239.0,166.0,99332500.0,12042602.314172758,11336.168825609697
240.0,167.0,100092500.0,12187072.1409034,489.4599308555189
